id,bb,lo,lo.ht,start,frz,,onemonth.ht,Chl1,Chl2,Chl3,Chl4,ChlAvg,On or Before 2/19,,60dayheight,chl1,chl2,chl3,chl4,chlavg,ht.diff,tx_chlavg,tx_htdiff
ACESAC_14,2/1/19,2/11/19,29.6,12/24/18,,,,,,,,,"7= full leafout; 5 cont, 2 frz",,,,,,,#DIV/0!,-29.6,,
ACESAC_24,2/13/19,2/25/19,22.6,12/24/18,2/15/19,,,,,,,,15=budburst,,,,,,,#DIV/0!,-22.6,,
ACESAC_34,1/30/19,2/11/19,30.1,12/24/18,,,,,,,,,5=budburst and frz,,,,,,,#DIV/0!,-30.1,,
ACESAC_44,2/11/19,2/22/19,22.2,12/24/18,2/15/19,,,,,,,,,,,,,,,#DIV/0!,-22.2,,
ACESAC_54,2/8/19,2/16/19,16.4,12/24/18,,,,,,,,,,,,,,,,#DIV/0!,-16.4,,
ACESAC_64,2/16/19,3/4/19,22.1,12/24/18,2/25/19,,,,,,,,,,,,,,,#DIV/0!,-22.1,,
ACESAC_74,2/16/19,3/4/19,22.5,12/24/18,,,,,,,,,,,,,,,,#DIV/0!,-22.5,,
ACESAC_84,2/1/19,2/19/19,31.1,12/24/18,2/15/19,,,,,,,,,,,,,,,#DIV/0!,-31.1,,
ACESAC_94,1/30/19,2/16/19,30,12/24/18,,,,,,,,,,,,,,,,#DIV/0!,-30,,
ACESAC_104,2/4/19,2/22/19,25.2,12/24/18,2/8/19,90%,,,,,,,,,,,,,,#DIV/0!,-25.2,,
ACESAC_114,2/22/19,3/8/19,22.6,12/24/18,,,,,,,,,,,,,,,,#DIV/0!,-22.6,,
ACESAC_124,1/30/19,2/16/19,27.6,12/24/18,2/8/19,,,,,,,,,,,,,,,#DIV/0!,-27.6,,
ACESAC_134,2/6/19,2/16/19,22.1,12/24/18,,,,,,,,,,,,,,,,#DIV/0!,-22.1,,
ACESAC_144,2/1/19,2/13/19,33.3,12/24/18,2/6/19,,,,,,,,,,,,,,,#DIV/0!,-33.3,,
ACESAC_154,2/4/19,2/19/19,20.2,12/24/18,,,,,,,,,,,,,,,,#DIV/0!,-20.2,,
ACESAC_164,2/4/19,2/22/19,36.3,12/24/18,2/13/19,,,,,,,,,,,,,,,#DIV/0!,-36.3,,
ACESAC_16,2/16/19,3/4/19,22.1,1/7/19,,,,,,,,,"9=budburst; 5 cont, 4 frz",,,,,,,#DIV/0!,-22.1,,
ACESAC_26,3/4/19,3/15/19,27.9,1/7/19,3/8/19,,,,,,,,1= in growth chamber during heat,,,,,,,#DIV/0!,-27.9,,
ACESAC_36,2/11/19,2/22/19,34.3,1/7/19,,,,,,,,,,,,,,,,#DIV/0!,-34.3,,
ACESAC_46,2/16/19,3/1/19,30.9,1/7/19,2/22/19,,,,,,,,,,,,,,,#DIV/0!,-30.9,,
ACESAC_56,2/19/19,3/4/19,30.9,1/7/19,,,,,,,,,,,,,,,,#DIV/0!,-30.9,,
ACESAC_66,2/16/19,2/27/19,21,1/7/19,2/22/19,,,,,,,,,,,,,,,#DIV/0!,-21,,
ACESAC_76,2/8/19,2/25/19,17.8,1/7/19,,,,,,,,,,,,,,,,#DIV/0!,-17.8,,
ACESAC_86,2/25/19,3/11/19,29.5,1/7/19,3/4/19,,,,,,,,,,,,,,,#DIV/0!,-29.5,,
ACESAC_96,2/27/19,3/6/19,27.4,1/7/19,,,,,,,,,,,,,,,,#DIV/0!,-27.4,,
ACESAC_106,2/16/19,2/25/19,24.7,1/7/19,2/22/19,,,,,,,,,,,,,,,#DIV/0!,-24.7,,
ACESAC_116,2/16/19,3/4/19,27.7,1/7/19,,,,,,,,,,,,,,,,#DIV/0!,-27.7,,
ACESAC_126,2/19/19,3/8/19,27.7,1/7/19,3/4/19,,,,,,,,,,,,,,,#DIV/0!,-27.7,,
ACESAC_136,3/11/19,3/18/19,19.1,1/7/19,,,,,,,,,,,,,,,,#DIV/0!,-19.1,,
ACESAC_146,2/19/19,3/4/19,35.2,1/7/19,2/25/19,,,,,,,,,,,,,,,#DIV/0!,-35.2,,
ACESAC_156,2/4/19,2/19/19,30.2,1/7/19,,,,,,,,,,,,,,,,#DIV/0!,-30.2,,
ACESAC_166,2/8/19,2/22/19,21.4,1/7/19,2/19/19,,,,,,,,,,,,,,,#DIV/0!,-21.4,,
ACESAC_18,2/22/19,3/6/19,23.7,1/21/19,,,,,,,,,none bursted before heat,,,,,,,#DIV/0!,-23.7,,
ACESAC_28,3/1/19,3/11/19,29.4,1/21/19,3/4/19,,,,,,,,"4 bursted day of; 1 cont, 3 frz",,,,,,,#DIV/0!,-29.4,,
ACESAC_38,2/19/19,3/4/19,28.8,1/21/19,,,,,,,,,,,,,,,,#DIV/0!,-28.8,,
ACESAC_48,2/25/19,,,1/21/19,3/4/19,,,,,,,,,,,,,,,#DIV/0!,0,,
ACESAC_58,3/11/19,3/18/19,28.8,1/21/19,,,,,,,,,,,,,,,,#DIV/0!,-28.8,,
ACESAC_68,2/19/19,3/6/19,34.8,1/21/19,2/25/19,,,,,,,,,,,,,,,#DIV/0!,-34.8,,
ACESAC_78,3/6/19,3/15/19,20.8,1/21/19,,,,,,,,,,,,,,,,#DIV/0!,-20.8,,
ACESAC_88,2/19/19,3/6/19,23.8,1/21/19,2/27/19,,,,,,,,,,,,,,,#DIV/0!,-23.8,,
ACESAC_98,3/8/19,3/15/19,20.1,1/21/19,,,,,,,,,,,,,,,,#DIV/0!,-20.1,,
ACESAC_108,2/25/19,3/11/19,,1/21/19,3/4/19,,,,,,,,,,,,,,,#DIV/0!,0,,
ACESAC_118,2/22/19,3/6/19,27,1/21/19,,,,,,,,,,,,,,,,#DIV/0!,-27,,
ACESAC_128,3/4/19,3/12/19,28.8,1/21/19,3/8/19,,,,,,,,,,,,,,,#DIV/0!,-28.8,,
ACESAC_138,2/22/19,3/4/19,33,1/21/19,,,,,,,,,,,,,,,,#DIV/0!,-33,,
ACESAC_148,2/19/19,3/18/19,31.1,1/21/19,2/27/19,,,,,,,,,,,,,,,#DIV/0!,-31.1,,
ACESAC_158,3/1/19,,,1/21/19,,,,,,,,,,,,,,,,#DIV/0!,0,,
ACESAC_168,3/1/19,3/15/19,24.3,1/21/19,3/8/19,,,,,,,,,,,,,,,#DIV/0!,-24.3,,
ALNRUG_14,1/23/19,2/6/19,30,12/24/18,,,,,,,,,14 full leaf out before heat,,,,,,,#DIV/0!,-30,,
ALNRUG_24,1/23/19,2/13/19,31.8,12/24/18,1/28/19,,,,,,,,1 budburst and frz,,,,,,,#DIV/0!,-31.8,,
ALNRUG_34,1/23/19,2/11/19,20.2,12/24/18,,,,,,,,,1 never going to burst,,,,,,,#DIV/0!,-20.2,,
ALNRUG_44,1/18/19,2/8/19,29.4,12/24/18,1/23/19,,,,,,,,,,,,,,,#DIV/0!,-29.4,,
ALNRUG_54,1/18/19,2/13/19,32.6,12/24/18,,,,,,,,,,,,,,,,#DIV/0!,-32.6,,
ALNRUG_64,1/18/19,2/13/19,32.2,12/24/18,1/25/19,,,,,,,,,,,,,,,#DIV/0!,-32.2,,
